wkt_geom,id,join_segment_id,join_length,distance
Point (121.03489916153445449 14.55473361020092682),,1000124236,0.0029,1.99E-06
Point (121.0349432577746569 14.55471339283479537),,1000124236,0.0029,4.61E-05
Point (121.03501752512656253 14.55476955218060198),,1000124237,0.0013,5.06E-05
Point (121.03501752512656253 14.5548122332738572),,1000124237,0.0013,1.72E-05
Point (121.03483185674677713 14.55473136382701149),,1000124236,0.0029,4.02E-05
Point (121.03479008136132222 14.55474708844400134),,1000124236,0.0029,7.93E-05
Point (121.03484346102052882 14.55466621897327784),,1000124236,0.0029,1.68E-05
Point (121.03477151452335647 14.55468418996932378),,1000124236,0.0029,4.37E-05
Point (121.03462297981950258 14.55454042195990105),,1000124236,0.0029,3.15E-05
Point (121.03462297981950258 14.55450672631914166),,1000124236,0.0029,5.96E-06
Point (121.03459745041726592 14.55445056690644101),,1000124236,0.0029,2.00E-05
Point (121.03453710819381683 14.55448201617932646),,1000124236,0.0029,4.32E-05
Point (121.03448604938938615 14.55445056690644101),,1000124236,0.0029,5.26E-05
Point (121.03451157879159439 14.55443034951438186),,1000124236,0.0029,2.06E-05
Point (121.03450229537260441 14.55439216110208989),,1000124236,0.0029,2.27E-06
Point (121.03442802802069878 14.55439440747946556),,1000124236,0.0029,4.78E-05
Point (121.03435608152352643 14.55435172630540031),,1000124236,0.0029,6.24E-05
Point (121.03439321519948635 14.55433824803819221),,1000124236,0.0029,2.79E-05
Point (121.03443499058492705 14.55432027701396613),,1000124236,0.0029,1.29E-05
Point (121.0343096644285481 14.55426411755382432),,1000124236,0.0029,2.62E-05
Point (121.03425396391462243 14.55426411755382432),,1000124236,0.0029,6.25E-05
Point (121.0343096644285481 14.55429107409647216),,1000124236,0.0029,4.66E-05
Point (121.03430038100957233 14.55420346532081233),,1000124236,0.0029,1.38E-05
Point (121.03425628476936993 14.55421245083786275),,1000124236,0.0029,2.18E-05
Point (121.03420290511016333 14.55420795807938283),,1000124236,0.0029,5.32E-05
Point (121.0341263169035102 14.55415853773005885),,1000124236,0.0029,6.56E-05
Point (121.03417737570794088 14.554156291350278),,1000124236,0.0029,3.06E-05
Point (121.03418897998169257 14.55410911736966817),,1000124236,0.0029,1.27E-05
